ngram,log_prob
leg,-8.322753424902654
uar,-8.32396981881905
tsw,-8.324090388233039
fun,-8.324461462250248
rni,-8.324647370917791
lde,-8.325743366354072
ebo,-8.3278102285343
yon,-8.328086989508018
orr,-8.329062685065624
rus,-8.331903947670181
ros,-8.333631897389525
bel,-8.334913979500774
lti,-8.335298148633047
saf,-8.337264960182727
atm,-8.337724926359499
uta,-8.339797883684135
lei,-8.340115356950566
hom,-8.340932086954869
ehi,-8.341347535599013
gar,-8.342467536289114
kes,-8.343381069897465
dem,-8.344243875262151
hre,-8.346321247733805
geo,-8.346872431361414
nwh,-8.347325381649682
sei,-8.348126073726164
nag,-8.34960568330449
rag,-8.352760720841138
owa,-8.353421841319522
cel,-8.354057033908335
isn,-8.355513437061687
oci,-8.355596280964184
ito,-8.35655393964793
eun,-8.35922039704817
fee,-8.360277035690254
ees,-8.361818587274016
aid,-8.362144459162742
sev,-8.362761282165069
eap,-8.362906570090585
ngb,-8.363405430703315
rri,-8.366033876136811
ows,-8.370600336824085
bei,-8.370933440718716
lsa,-8.373495746644199
typ,-8.373836875589372
npr,-8.373915200432792
mpr,-8.374811834952215
sic,-8.375349663169118
tpr,-8.377122369455996
cep,-8.377293707733152
mun,-8.377760652348307
nsp,-8.378303783432958
lia,-8.381623320271883
jec,-8.382524861527786
tol,-8.382553344494465
yfo,-8.38483257522779
ego,-8.385050790122062
omo,-8.385678168207292
nma,-8.387479177327036
efu,-8.387549036013164
pol,-8.388864994611422
erh,-8.389570575677462
nsh,-8.390052855490387
ily,-8.390279046960037
alf,-8.39314709109625
orn,-8.39408549861875
toi,-8.39463242333039
ryt,-8.396182180203075
ied,-8.396682104227787
lef,-8.39777978784729
oad,-8.399154450857948
byt,-8.399247196670187
def,-8.401529935821921
ngh,-8.402197135351077
sab,-8.404617652229785
die,-8.40575427868772
mot,-8.40672578765146
rob,-8.407489282157904
vie,-8.407643302765331
nab,-8.408197347243224
ysi,-8.408937247345227
leo,-8.412053194674764
sys,-8.413466518737318
ncr,-8.415027198746031
hap,-8.415405572716455
ruc,-8.416479462795897
meo,-8.417503589526143
onp,-8.417818619348587
alr,-8.4189506655646
nha,-8.419177861798762
sib,-8.419409683292326
cro,-8.420194194291694
sla,-8.422290648852263
efa,-8.422875111893497
alw,-8.425713339193758
